id,y_pred
3920,153053.6178051193
3921,172304.40549035266
3922,182275.3353883595
3923,180017.09076293244
3924,176280.8286084846
3925,173043.38179038302
3926,170807.2981378988
3927,169013.48781678037
5072,108363.6239501693
5073,95097.60881752995
5074,88196.86506319162
5075,89353.41464932804
5076,92595.82231111807
5077,95459.47988232959
5078,97095.16114097578
5079,98301.40214910475
7592,49417.452780564665
7593,57027.67465495772
7594,67678.21955058191
7595,72565.7608795574
7596,74210.12052431557
7597,74643.78154035905
7598,75094.5453790678
7599,75523.26569575007
992,136623.716691779
993,168932.70591450692
994,173952.2168875364
995,160731.00580702853
996,152035.3082840429
997,147521.09920858225
998,143417.6378331443
999,140149.27623277303
6248,307428.87216560444
6249,303002.201489998
6250,307745.7188125891
6251,314192.4529464408
6252,317779.79556600994
6253,319181.3711733145
6254,320226.88751412637
6255,321319.8440222568
1248,272583.6801397661
1249,288845.1975960671
1250,295340.089031231
1251,291570.2864736241
1252,285779.2468999369
1253,280627.94701213425
1254,276960.35854357947
1255,273966.2785828196
5160,309493.9248946301
5161,317376.8711880229
5162,343526.8653123726
5163,361604.1413108009
5164,365230.9682456602
5165,363679.571518732
5166,363733.16156473017
5167,364198.5283848783
2016,214429.90981015508
2017,234427.41503097382
2018,257488.00163524822
2019,267103.8939358667
2020,272871.28159417055
2021,276463.8533183416
2022,279299.34735807695
2023,281641.9271768696
6272,189131.1566015047
6273,222391.25291744887
6274,246264.74301747693
6275,248302.95883429094
6276,246310.6680892776
6277,244521.33393913234
6278,243531.15640005525
6279,242226.60602390236
1640,367619.65701056615
1641,349303.9910682481
1642,316143.62000033853
1643,298147.22982475004
1644,289804.4922319177
1645,285320.41383131826
1646,281797.76462968055
1647,279180.3138340867
6592,202919.46388123787
6593,209276.91605567266
6594,214958.11347796174
6595,216186.37005554064
6596,218992.65130596893
6597,222146.47598593228
6598,224198.6398831513
6599,225522.9912867083
7376,399865.11785927473
7377,362256.00171854807
7378,339303.95250312565
7379,339572.3068857535
7380,337905.85545888974
7381,334345.3566032889
7382,332174.0497282144
7383,331549.7223935713
4664,117981.84438173054
4665,126451.12546412979
4666,136754.03521130595
4667,139957.79238787916
4668,138204.5308244106
4669,135405.85642919393
4670,133729.48825210088
4671,132396.28411138782
5136,421127.03141279053
5137,436485.5963436909
5138,441377.2587337695
5139,436633.34050304117
5140,431139.6069581826
5141,427118.02395795274
5142,424897.3281409529
5143,422640.48688034003
3424,342736.7508412059
3425,315264.9271547767
3426,305675.3516220977
3427,313030.211602984
3428,319693.29426955635
3429,323899.14060817263
3430,327596.00793280674
3431,330933.93646958336
1416,117803.74068731436
1417,114682.60297011427
1418,111833.19732845167
1419,109838.32053114526
1420,108768.80377368955
1421,108653.81991089476
1422,108467.38460234349
1423,107828.54947185103
944,339989.0103408856
945,310627.51698918256
946,287596.8065690991
947,283379.95735754847
948,287457.45480853494
949,292835.67603522283
950,296251.60891897924
951,298336.6885685101
1648,275518.13979929074
1649,284795.7696616423
1650,285770.29745641444
1651,281768.0399849411
1652,277456.59023132373
1653,273972.1360176868
1654,271215.3959301468
1655,268710.98440858943
3952,298140.6117438616
3953,293648.1881083577
3954,304355.76439548493
3955,315793.9300901589
3956,321176.3282041677
3957,323730.1415409364
3958,326025.59918409545
3959,328406.7683148213
5552,308414.26206144656
5553,279342.8384729962
5554,260394.87118783736
5555,259265.43115686628
5556,259164.35328624805
5557,259134.6929918315
